"Ze produceerde nu helemaal geen geluid. Het laatste wat ze zei was: ""Kan je niet even stoppen met praten?""";mbart
De verschillende exposities die hij in de eerste zomer te bieden had, van de achtste en laatste Impressionistische expositie in mei tot de Salon des Ind€?ô÷pendants in augustus, gaven hem de ideale kans om een groeiende cacofonie van hedendaagse stijlen tegen te gaan.;mbart
Er bestaat geen voorspelling.;mbart
"Is dat realistisch?""";mbart
In zijn brieven stond hij erop om zo'n aanrakingen van achtergronddetails te communiceren, en op een bepaald niveau verwachtte Van Gogh duidelijk dat zijn kijkers ze ook konden absorberen.;mbart
Toen ik dat mijn vrouw vertelde, begon ze te huilen.;mbart
De gang van zaken voor gevangenen -- die baden, sporten in de tuinen en regelmatige maaltijden bevatten, hoewel hij de insipide dieet stimuleerde -- werd gereguleerd door bels.;mbart
"""Maak je dat zelf?"" vroeg ze en wijsde op de plantaardige quiche.";mbart
Hij was zich goed bewust van de puinhoop die andere kunststudenten zich deden proberen te schilderen voordat ze veilig konden tekenen.;mbart
(De medische mening blijft verdeeld over de nauwkeurige aard van Van Gogh's ziekte -- het lijkt waarschijnlijk dat het een vorm van temporale epilepsie was, gecompliceerd door een bipolaire affectieve stoornis -- hoewel er weinig twijfel is dat zijn alcoholgebruik en een slechte dieet zijn toestand verscherven.);mbart
"""Waarom het mooiste antwoord?"" vroeg ze en keek me aan alsof ze een kant van het rundvlees inspecteerde.";mbart
"""Voor €÷€÷n dollar krijg je een derde,"" zei de ober.";mbart
"Op de avond van 23-24 december, na een dronken discussie, leed Van Gogh aan een soort mentale afbraak; hij lijkt met een razor naar Gauguin te zijn gekomen, maar als hij uitgedaagd werd, vluchtte hij, draaide de wapen op zichzelf en sneed de kwab van zijn linkeroor.";mbart
In het land had hij de neiging gehad om modellen te zoeken die de harde realiteit van het werk hadden gekend -- dienaars, landbouwers en webers -- en op dezelfde manier zocht hij zijn modellen in de stad onder prostituees en armen.;mbart
Ze lachte belachelijk.;mbart
Van Gogh's portret van de kleurhandelaar Julien Tanguy (1824-1894), een loyale supporter van de kunstenaars van 'le petit boulevard', behoort tot deze fase van intense persoonlijke identificatie met Japanse kunst (ill. 54).;mbart
Aan de muziek op de Top 40 station, omdat we die de hele nacht speelden.;mbart
"Wat was het punt?""";mbart
